CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_ENT_MUN
1,Aguascalientes,1,Aguascalientes,1.1
1,Aguascalientes,2,Asientos,1.2
1,Aguascalientes,3,Calvillo,1.3
1,Aguascalientes,4,Cosio,1.4
1,Aguascalientes,5,Jesus Maria,1.5
1,Aguascalientes,6,Pabellon de Arteaga,1.6
1,Aguascalientes,7,Rincon de Romos,1.7
1,Aguascalientes,8,San Jose de Gracia,1.8
1,Aguascalientes,9,Tepezala,1.9
1,Aguascalientes,10,El Llano,1.10
1,Aguascalientes,11,San Francisco de los Romo,1.11
2,Baja California,1,Ensenada,2.1
2,Baja California,2,Mexicali,2.2
2,Baja California,3,Tecate,2.3
2,Baja California,4,Tijuana,2.4
2,Baja California,5,Playas de Rosarito,2.5
2,Baja California,6,San Quintin,2.6
2,Baja California,7,San Felipe,2.7
3,Baja California Sur,1,Comondu,3.1
3,Baja California Sur,2,Mulege,3.2
3,Baja California Sur,3,La Paz,3.3
3,Baja California Sur,8,Los Cabos,3.8
3,Baja California Sur,9,Loreto,3.9
4,Campeche,1,Calkini,4.1
4,Campeche,2,Campeche,4.2
4,Campeche,3,Carmen,4.3
4,Campeche,4,Champoton,4.4
4,Campeche,5,Hecelchakan,4.5
4,Campeche,6,Hopelchen,4.6
4,Campeche,7,Palizada,4.7
4,Campeche,8,Tenabo,4.8
4,Campeche,9,Escarcega,4.9
4,Campeche,10,Calakmul,4.10
4,Campeche,11,Candelaria,4.11
4,Campeche,12,Seybaplaya,4.12
4,Campeche,13,Dzitbalche,4.13
5,Coahuila de Zaragoza,1,Abasolo,5.1
5,Coahuila de Zaragoza,2,Acuña,5.2
5,Coahuila de Zaragoza,3,Allende,5.3
5,Coahuila de Zaragoza,4,Arteaga,5.4
5,Coahuila de Zaragoza,5,Candela,5.5
5,Coahuila de Zaragoza,6,Castaños,5.6
5,Coahuila de Zaragoza,7,Cuatro Cienegas,5.7
5,Coahuila de Zaragoza,8,Escobedo,5.8
5,Coahuila de Zaragoza,9,Francisco I. Madero,5.9
5,Coahuila de Zaragoza,10,Frontera,5.10
5,Coahuila de Zaragoza,11,General Cepeda,5.11
5,Coahuila de Zaragoza,12,Guerrero,5.12
5,Coahuila de Zaragoza,13,Hidalgo,5.13
5,Coahuila de Zaragoza,14,Jimenez,5.14
5,Coahuila de Zaragoza,15,Juarez,5.15
5,Coahuila de Zaragoza,16,Lamadrid,5.16
5,Coahuila de Zaragoza,17,Matamoros,5.17
5,Coahuila de Zaragoza,18,Monclova,5.18
5,Coahuila de Zaragoza,19,Morelos,5.19
5,Coahuila de Zaragoza,20,Muzquiz,5.20
5,Coahuila de Zaragoza,21,Nadadores,5.21
5,Coahuila de Zaragoza,22,Nava,5.22
5,Coahuila de Zaragoza,23,Ocampo,5.23
5,Coahuila de Zaragoza,24,Parras,5.24
5,Coahuila de Zaragoza,25,Piedras Negras,5.25
5,Coahuila de Zaragoza,26,Progreso,5.26
5,Coahuila de Zaragoza,27,Ramos Arizpe,5.27
5,Coahuila de Zaragoza,28,Sabinas,5.28
5,Coahuila de Zaragoza,29,Sacramento,5.29
5,Coahuila de Zaragoza,30,Saltillo,5.30
5,Coahuila de Zaragoza,31,San Buenaventura,5.31
5,Coahuila de Zaragoza,32,San Juan de Sabinas,5.32
5,Coahuila de Zaragoza,33,San Pedro,5.33
5,Coahuila de Zaragoza,34,Sierra Mojada,5.34
5,Coahuila de Zaragoza,35,Torreon,5.35
5,Coahuila de Zaragoza,36,Viesca,5.36
5,Coahuila de Zaragoza,37,Villa Union,5.37
5,Coahuila de Zaragoza,38,Zaragoza,5.38
6,Colima,1,Armeria,6.1
6,Colima,2,Colima,6.2
6,Colima,3,Comala,6.3
6,Colima,4,Coquimatlan,6.4
6,Colima,5,Cuauhtemoc,6.5
6,Colima,6,Ixtlahuacan,6.6
6,Colima,7,Manzanillo,6.7
6,Colima,8,Minatitlan,6.8
6,Colima,9,Tecoman,6.9
6,Colima,10,Villa de alvarez,6.10
7,Chiapas,1,Acacoyagua,7.1
7,Chiapas,2,Acala,7.2
7,Chiapas,3,Acapetahua,7.3
7,Chiapas,4,Altamirano,7.4
7,Chiapas,5,Amatan,7.5
7,Chiapas,6,Amatenango de la Frontera,7.6
7,Chiapas,7,Amatenango del Valle,7.7
7,Chiapas,8,angel Albino Corzo,7.8
7,Chiapas,9,Arriaga,7.9
7,Chiapas,10,Bejucal de Ocampo,7.10
7,Chiapas,11,Bella Vista,7.11
7,Chiapas,12,Berriozabal,7.12
7,Chiapas,13,Bochil,7.13
7,Chiapas,14,El Bosque,7.14
7,Chiapas,15,Cacahoatan,7.15
7,Chiapas,16,Catazaja,7.16
7,Chiapas,17,Cintalapa de Figueroa,7.17
7,Chiapas,18,Coapilla,7.18
7,Chiapas,19,Comitan de Dominguez,7.19
7,Chiapas,20,La Concordia,7.20
7,Chiapas,21,Copainala,7.21
7,Chiapas,22,Chalchihuitan,7.22
7,Chiapas,23,Chamula,7.23
7,Chiapas,24,Chanal,7.24
7,Chiapas,25,Chapultenango,7.25
7,Chiapas,26,Chenalho,7.26
7,Chiapas,27,Chiapa de Corzo,7.27
7,Chiapas,28,Chiapilla,7.28
7,Chiapas,29,Chicoasen,7.29
7,Chiapas,30,Chicomuselo,7.30
7,Chiapas,31,Chilon,7.31
7,Chiapas,32,Escuintla,7.32
7,Chiapas,33,Francisco Leon,7.33
7,Chiapas,34,Frontera Comalapa,7.34
7,Chiapas,35,Frontera Hidalgo,7.35
7,Chiapas,36,La Grandeza,7.36
7,Chiapas,37,Huehuetan,7.37
7,Chiapas,38,Huixtan,7.38
7,Chiapas,39,Huitiupan,7.39
7,Chiapas,40,Huixtla,7.40
7,Chiapas,41,La Independencia,7.41
7,Chiapas,42,Ixhuatan,7.42
7,Chiapas,43,Ixtacomitan,7.43
7,Chiapas,44,Ixtapa,7.44
7,Chiapas,45,Ixtapangajoya,7.45
7,Chiapas,46,Jiquipilas,7.46
7,Chiapas,47,Jitotol,7.47
7,Chiapas,48,Juarez,7.48
7,Chiapas,49,Larrainzar,7.49
7,Chiapas,50,La Libertad,7.50
7,Chiapas,51,Mapastepec,7.51
7,Chiapas,52,Las Margaritas,7.52
7,Chiapas,53,Mazapa de Madero,7.53
7,Chiapas,54,Mazatan,7.54
7,Chiapas,55,Metapa,7.55
7,Chiapas,56,Mitontic,7.56
7,Chiapas,57,Motozintla,7.57
7,Chiapas,58,Nicolas Ruiz,7.58
7,Chiapas,59,Ocosingo,7.59
7,Chiapas,60,Ocotepec,7.60
7,Chiapas,61,Ocozocoautla de Espinosa,7.61
7,Chiapas,62,Ostuacan,7.62
7,Chiapas,63,Osumacinta,7.63
7,Chiapas,64,Oxchuc,7.64
7,Chiapas,65,Palenque,7.65
7,Chiapas,66,Pantelho,7.66
7,Chiapas,67,Pantepec,7.67
7,Chiapas,68,Pichucalco,7.68
7,Chiapas,69,Pijijiapan,7.69
7,Chiapas,70,El Porvenir,7.70
7,Chiapas,71,Villa Comaltitlan,7.71
7,Chiapas,72,Pueblo Nuevo Solistahuacan,7.72
7,Chiapas,73,Rayon,7.73
7,Chiapas,74,Reforma,7.74
7,Chiapas,75,Las Rosas,7.75
7,Chiapas,76,Sabanilla,7.76
7,Chiapas,77,Salto de Agua,7.77
7,Chiapas,78,San Cristobal de las Casas,7.78
7,Chiapas,79,San Fernando,7.79
7,Chiapas,80,Siltepec,7.80
7,Chiapas,81,Simojovel,7.81
7,Chiapas,82,Sitala,7.82
7,Chiapas,83,Socoltenango,7.83
7,Chiapas,84,Solosuchiapa,7.84
7,Chiapas,85,Soyalo,7.85
7,Chiapas,86,Suchiapa,7.86
7,Chiapas,87,Suchiate,7.87
7,Chiapas,88,Sunuapa,7.88
7,Chiapas,89,Tapachula,7.89
7,Chiapas,90,Tapalapa,7.90
